data,hora,municipio,tipo_crime,bairro,cep,logradouro,lat,lon,ano
2023-01-06,,S.PAULO,Roubo (art. 157),BOM RETIRO,1120010.0,PRAÇA DA LUZ,-23.5344,-46.635958,2023
2023-01-08,05:30:00,S.PAULO,Roubo (art. 157),BOM RETIRO,1102000.0,AVENIDA TIRADENTES,-23.5306,-46.632048,2023
2023-01-13,,S.PAULO,Roubo (art. 157),BOM RETIRO,1125001.0,RUA DA GRACA,-23.5292,-46.63893,2023
2023-01-19,09:00:00,S.PAULO,Roubo (art. 157),BOM RETIRO,1132000.0,RUA VISCONDE DE TAUNAY,-23.5237,-46.648591,2023
2023-01-22,21:00:15,S.PAULO,Roubo (art. 157),BOM RETIRO,1120010.0,PRAÇA DA LUZ,-23.5344,-46.635958,2023
2023-01-22,21:00:15,S.PAULO,Roubo (art. 157),BOM RETIRO,1120010.0,PRAÇA DA LUZ,-23.5344,-46.635958,2023
2023-01-23,,S.PAULO,Roubo (art. 157),BOM RETIRO,0.0,AVENIDA DO ESTADO,-23.5221,-46.634898,2023
2023-01-25,20:30:13,S.PAULO,Roubo (art. 157),BOM RETIRO,0.0,AVENIDA DO ESTADO,-23.5221,-46.634898,2023
2023-01-25,20:30:13,S.PAULO,Roubo (art. 157),BOM RETIRO,0.0,AVENIDA DO ESTADO,-23.5221,-46.634898,2023
2023-01-26,18:00:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,0.0,RUA MAUÁ,-23.5358,-46.63395,2023
2022-12-30,20:00:19,S.PAULO,Roubo (art. 157),REPUBLICA,1206000.0,AVENIDA RIO BRANCO,-23.5425,-46.638015,2023
2022-12-30,04:15:00,S.PAULO,Roubo (art. 157),REPUBLICA,1209010.0,PRAÇA JULIO MESQUITA,-23.5403,-46.642952,2023
2023-01-01,01:00:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1039000.0,AVENIDA IPIRANGA,-23.5423,-46.64026,2023
2023-01-01,01:00:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1039000.0,AVENIDA IPIRANGA,-23.5423,-46.64026,2023
2022-12-31,,S.PAULO,Roubo (art. 157),REPUBLICA,1032001.0,RUA BRIGADEIRO TOBIAS,-23.5362,-46.634098,2023
2023-01-01,01:05:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1032001.0,RUA BRIGADEIRO TOBIAS,-23.5385,-46.635013,2023
2022-11-30,15:45:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1034040.0,RUA DO SEMINÁRIO,-23.5423,-46.636462,2023
2022-12-30,03:30:00,S.PAULO,Roubo (art. 157),REPUBLICA,1210010.0,AVENIDA VIEIRA DE CARVALHO,-23.5423,-46.643392,2023
2023-01-02,02:00:00,S.PAULO,Roubo (art. 157),REPUBLICA,1213010.0,LARGO GENERAL OSORIO,-23.5355,-46.638873,2023
2022-12-30,08:20:00,S.PAULO,Roubo (art. 157),REPUBLICA,0.0,ESTAÇÃO METRO REPÚBLICA,-23.5432,-46.643373,2023
2023-01-02,04:35:00,S.PAULO,Roubo (art. 157),REPUBLICA,1219011.0,LARGO DO AROUCHE,-23.5412,-46.644509,2023
2023-01-01,03:40:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1302000.0,RUA DA CONSOLAÇÃO,-23.5473,-46.644524,2023
2023-01-01,,S.PAULO,Roubo (art. 157),REPUBLICA,0.0,ESTAÇÃO METRO LUZ,-23.5359,-46.634312,2023
2022-12-24,,S.PAULO,Roubo (art. 157),REPUBLICA,1206000.0,AVENIDA RIO BRANCO,-23.5425,-46.638015,2023
2022-12-28,,S.PAULO,Roubo (art. 157),REPUBLICA,1213010.0,LARGO GENERAL OSORIO,-23.5355,-46.638873,2023
2022-12-31,15:33:00,S.PAULO,Roubo (art. 157),REPUBLICA,1206000.0,AVENIDA RIO BRANCO,-23.5425,-46.638015,2023
2022-12-31,03:03:00,S.PAULO,Roubo (art. 157),REPUBLICA,1210010.0,AVENIDA VIEIRA DE CARVALHO,-23.5423,-46.643392,2023
2023-01-01,,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1034010.0,LARGO DO PAISSANDÚ,-23.5428,-46.637737,2023
2023-01-02,19:23:00,S.PAULO,Roubo (art. 157),REPÚBLICA,1048000.0,RUA CORONEL XAVIER DE TOLEDO,-23.5465,-46.638869,2023
2022-12-31,,S.PAULO,Roubo (art. 157),REPUBLICA,1045000.0,PRAÇA DA REPUBLICA,-23.5421,-46.642453,2023
2022-12-30,20:45:29,S.PAULO,Roubo (art. 157),REPÚBLICA,14786079.0,PRAÇA DA REPÚBLICA,-23.5441,-46.642506,2023
